                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3376,                 6.6728,                 4.3515,                0.00019,                0.02899,                0.00017,                  5e-05,                 4.1941,                 5.1843,                 4.1613,              0.0032653,              0.0032653,              0.0032653
                      1,                 3.9204,                 5.6136,                 4.0887,                0.00036,                0.01449,                0.00048,                  9e-05,                 4.1852,                 5.2568,                 4.2063,              0.0065921,              0.0065921,              0.0065921
                      2,                 3.2927,                 4.4061,                  3.412,                0.70113,                0.00725,                0.00901,                0.00155,                 3.5402,                 4.1713,                 3.5792,              0.0099123,              0.0099123,              0.0099123
                      3,                 2.8924,                 3.4873,                 2.8506,                0.00797,                0.32522,                0.02515,                0.00788,                 3.0495,                 58.393,                 3.7391,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.5495,                 2.7788,                 2.4375,                0.76195,                0.02657,                0.01822,                0.00456,                  3.455,                 8.2813,                 3.7175,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2811,                 2.2661,                 2.1711,                0.33051,                0.41311,                0.29622,                0.09533,                 2.4183,                 2.9198,                 2.4011,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.1003,                 1.9851,                 1.9406,                0.62617,                0.52581,                0.49726,                 0.2312,                  2.151,                  2.864,                 2.0452,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9744,                 1.7626,                 1.8263,                0.64083,                0.63389,                0.62761,                0.31444,                 1.8494,                 1.6614,                 1.8859,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.8565,                 1.6592,                 1.7512,                 0.5704,                0.21014,                0.24919,                0.11501,                 2.0712,                 2.5084,                 2.1405,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.7241,                 1.5124,                 1.6432,                0.50181,                0.33765,                 0.3248,                0.17573,                 1.8339,                 2.3751,                 1.8681,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.7233,                  1.446,                 1.6144,                0.52462,                0.67047,                0.59788,                0.30764,                 1.5982,                 1.4204,                 1.6218,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.6137,                 1.3254,                 1.5304,                0.71201,                0.59121,                0.67978,                0.32646,                 1.5948,                 1.4393,                 1.6222,               0.009901,               0.009901,               0.009901
                     12,                  1.569,                 1.2655,                 1.4802,                0.67605,                0.53343,                0.58514,                0.36971,                 1.4067,                 1.4794,                 1.5127,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.4727,                  1.185,                 1.4417,                0.65734,                0.56591,                 0.6663,                0.32655,                 1.5878,                 1.4362,                  1.608,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.4869,                  1.191,                 1.4201,                0.83199,                0.42213,                0.64995,                0.39445,                 1.4712,                 1.4057,                 1.5276,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.4326,                 1.1303,                 1.4041,                0.49586,                0.34362,                0.28318,                0.08375,                 1.9461,                 3.2074,                 1.8193,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.3869,                 1.0562,                 1.3558,                0.86913,                 0.6647,                0.80123,                0.46612,                 1.2784,                 1.2503,                 1.3836,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.3696,                 1.0253,                 1.3484,                 0.8126,                0.68514,                0.80499,                0.49186,                 1.2632,                 1.3138,                 1.3475,              0.0098416,              0.0098416,              0.0098416
                     18,                  1.336,                0.98776,                 1.3219,                0.89286,                0.62577,                0.77621,                0.43329,                 1.3586,                 1.1315,                 1.3821,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.2852,                0.94108,                 1.2989,                0.88127,                0.80839,                0.86644,                0.54388,                 1.2272,                0.96318,                 1.2999,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.2879,                0.92968,                 1.2984,                0.80986,                0.76368,                0.82049,                 0.5191,                 1.1808,                0.98973,                 1.2796,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.2667,                0.91594,                 1.2686,                0.83096,                0.73047,                0.83772,                0.55067,                  1.173,                 1.1093,                 1.2757,               0.009802,               0.009802,               0.009802
                     22,                 1.2408,                0.89382,                 1.2409,                0.86256,                0.79055,                0.85207,                0.53819,                 1.2305,                 0.9588,                 1.2907,              0.0097921,              0.0097921,              0.0097921
                     23,                  1.228,                0.87007,                 1.2534,                0.89515,                0.72567,                 0.8922,                0.60399,                 1.1426,                0.93217,                 1.2691,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.2484,                0.85668,                 1.2478,                0.86315,                0.77985,                0.87581,                0.58229,                 1.1437,                 0.8652,                 1.2424,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.1792,                0.83629,                 1.2079,                0.80275,                0.57964,                0.80279,                0.52314,                 1.2174,                 1.1341,                 1.2723,              0.0097624,              0.0097624,              0.0097624
